S no,Match id,"Pitch	",Weather,Venue City,Ground,Opposition,Batting position,Batting position,Avg in last 5 matches,Avg in last 5 matches,Fours in last five matches,Fours in last five matches,Sixes in last five matches,Sixes in last five matches,Score in last five matches,Score in last five matches,Runs,Runs
1,ODI # 4531,batting-friendly pitch.,Warm,Chattogram,Zahur Ahmed Chowdhury Stadium,v Bangladesh,1,one,Thirty to Fourty,33,twenty to thirty,23,Between one to three,1,Bet One Hndread One - One Hundead Seventy Six,165,Bet Zero - Twenty,19
2,ODI # 4528,balanced pitch,Warm,Chattogram,Zahur Ahmed Chowdhury Stadium,v Bangladesh,1,one,Twenty to Thirty,25.4,ten to twenty,15,Between one to three,1,Bet One Hndread One - One Hundead Seventy Six,127,More than Fifty Five,132
3,ODI # 4525,batting-friendly pitch.,Mild,Mirpur,Shere Bangla National Stadium,v Bangladesh,1,one,Twenty to Thirty,20.8,ten to twenty,13,Between one to three,1,Bet One Hndread One - One Hundead Seventy Six,104,Bet Zero - Twenty,4
4,ODI # 4514,batting-friendly pitch.,Hot,Mirpur,Shere Bangla National Stadium,v South Africa,1,one,Fourty to Fifty,41.6,twenty to thirty,27,Between one to three,2,More than One Hundrad Seventy Five,208,Bet Zero - Twenty,1
5,ODI # 4513,batting-friendly pitch.,Hot,Kimberley,Diamond Oval,v South Africa,1,one,Twenty to Thirty,14.2,ten to twenty,11,Between one to three,1,Bet Twenty Five - Hundread,71,Bet Zero - Twenty,9
6,ODI # 4512,batting-friendly pitch.,Sunny,Bloemfontein,Mangaung Oval,v South Africa,1,one,Thirty to Fourty,33,twenty to thirty,23,Between one to three,1,Bet One Hndread One - One Hundead Seventy Six,165,More than Fifty Five,113
7,ODI # 4480,balanced pitch,Mild,Bloemfontein,Mangaung Oval,v Australia,1,one,Fifty to Sixty,51.8,thirty to fourty,31,Between four to six,5,More than One Hundrad Seventy Five,259,Bet Twenty One - Fifty Five,33
8,ODI # 4477,batting-friendly pitch.,Hot,Melbourne,"Melbourne Cricket Ground",v Australia,1,one,Thirty to Fourty,32,ten to twenty,19,Between four to six,4,Bet One Hndread One - One Hundead Seventy Six,160,Bet Zero - Twenty,0
9,ODI # 4475,batting-friendly pitch.,Mild,Sydney,"Sydney Cricket Ground",v Australia,1,one,Thirty to Fourty,31.2,ten to twenty,18,Between four to six,4,Bet One Hndread One - One Hundead Seventy Six,156,Bet Zero - Twenty,6
10,ODI # 4437,batting-friendly pitch.,Sunny,Adelaide,Adelaide Oval,v South Africa,1,one,Thirty to Fourty,32.2,ten to twenty,18,Between four to six,4,Bet One Hndread One - One Hundead Seventy Six,161,Bet Zero - Twenty,7
